timestamp,symbol,price,alpha,cs_alpha_z,event_prob,vol_z,roc_5m
1767383580.0,MSFT,472.3260,0.7537,0.7807,0.6131,-0.3575,-0.000157
1767383580.0,HOOD,115.0920,-0.5460,0.7777,0.3312,-0.9734,-0.001544
1767383580.0,MU,313.4550,0.8319,0.7718,0.6199,-1.1780,-0.001545
1767383580.0,APP,620.9500,-0.9787,0.7779,0.4158,-0.7587,-0.001881
1767383580.0,GOOGL,315.0000,-0.5985,0.7850,0.6939,-0.9067,-0.001205
1767383580.0,WMT,112.6750,0.8728,-1.3804,0.5258,-0.3962,0.000266
1767383580.0,SMCI,31.1850,-2.8467,0.5151,0.6687,0.7738,-0.002559
1767383580.0,ADBE,336.2100,0.8029,0.7821,0.6568,-1.0307,0.000536
1767383580.0,CRM,255.0050,-0.8201,0.3287,0.5186,-0.8113,-0.000059
1767383580.0,ORCL,195.6600,0.6236,0.7821,0.6316,-0.3199,-0.001276
1767383580.0,NKE,63.2200,-0.3672,0.7723,0.6319,-0.5292,0.000792
1767383580.0,XOM,122.5450,-1.0168,0.3575,0.3744,-0.8233,0.000735
1767383580.0,INTC,39.6350,-1.1851,-1.3833,0.6751,0.3797,-0.000378
1767383580.0,DELL,127.9900,-1.3877,-1.3767,0.4818,0.0396,-0.000859
1767383580.0,IWM,248.9000,0.6529,-1.3835,0.6407,-0.6077,0.000301
1767383580.0,GLD,397.0300,0.7519,-1.3294,0.6025,-0.9052,-0.000843
1767383640.0,NVDA,188.9300,-0.1386,0.7954,0.5618,-1.0895,-0.002007
1767383640.0,AAPL,270.3700,-0.8712,-1.3361,0.5652,-0.8044,-0.000665
1767383640.0,META,652.1300,0.9582,-1.3392,0.6314,-0.6772,-0.000192
1767383640.0,PLTR,168.1500,-0.5945,0.8028,0.4161,-0.0786,-0.002018
1767383640.0,TSLA,441.0240,-2.2007,-1.3145,0.7623,-1.4064,-0.000187
1767383640.0,UNH,338.3200,0.6863,-0.7799,0.4766,-0.4403,-0.000044
1767383640.0,AMZN,226.4700,-1.2861,-1.3318,0.6320,-0.8141,-0.000221
1767383640.0,AMD,223.1900,-0.4551,0.7979,0.6934,-0.2644,-0.000851
1767383640.0,MSTR,157.0500,0.9208,0.7117,0.6417,0.3852,-0.003680
1767383640.0,COIN,237.1050,-0.4218,0.8006,0.6916,0.4178,-0.000948
1767383640.0,NFLX,91.3550,-0.4653,0.7972,0.6467,-0.4826,0.000000
1767383640.0,CRWV,80.1303,-0.7571,-1.3427,0.5969,-0.5440,-0.001616
1767383640.0,AVGO,347.4000,-1.0492,0.7974,0.5641,-0.6633,-0.002159
1767383640.0,MSFT,472.2000,-0.7489,0.7855,0.6084,-0.2890,-0.000243
1767383640.0,HOOD,115.1800,-0.5319,0.7875,0.2973,-0.4035,-0.000607
1767383640.0,MU,313.6700,0.7985,0.7458,0.6250,-0.5596,-0.000892
1767383640.0,APP,621.3700,-0.9783,0.7867,0.3791,-0.4277,-0.001014
1767383640.0,GOOGL,315.0100,-0.2495,0.7958,0.6876,-0.8230,-0.000825
1767383640.0,WMT,112.6900,0.8592,-1.3353,0.5401,-0.4071,0.000222
1767383640.0,SMCI,31.1900,0.4897,-1.2147,0.6081,0.6093,-0.002718
1767383640.0,ADBE,336.1500,-0.8022,0.7913,0.6662,-1.0652,-0.000059
1767383640.0,CRM,254.9750,1.1359,0.6448,0.5447,-0.8755,-0.000451
1767383640.0,ORCL,195.6900,0.6234,0.7928,0.6250,-0.1945,-0.001036
1767383640.0,NKE,63.2450,-0.3697,0.7871,0.6236,-0.6381,0.001312
1767383640.0,XOM,122.5450,-1.4313,0.7885,0.3720,-0.7664,0.000572
1767383640.0,INTC,39.6555,-1.1689,-1.3368,0.6700,0.5804,0.000076
1767383640.0,DELL,127.9800,-1.3697,-1.3286,0.4911,-0.2664,-0.001366
1767383640.0,IWM,248.8000,0.6755,-1.3366,0.6730,-0.4261,-0.000402
1767383640.0,GLD,397.0700,-1.7363,0.7875,0.5986,-0.7920,-0.000780
