date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,size_frac,n_concurrent,position_sizing,size_reason,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-05-08,AAPL,UP,ATM,AAPL260508C00290000,,open_lock,1s,293.92,290.0,0,2026-05-08 10:30:00-04:00,1,4.06,3.61,-0.11083743842364524,T+30,2026-05-08 10:30:12-04:00,2026-05-08 11:00:00-04:00,0.25,1,concurrent,solo_full,0.014188479415192967,3.0,1.0814686902320496
2026-05-08,TSLA,UP,ATM,TSLA260508C00417500,,open_lock,1s,426.3201,417.5,0,2026-05-08 10:50:00-04:00,1,8.92,10.49,0.1760089686098656,T+30,2026-05-08 10:50:00-04:00,2026-05-08 11:20:00-04:00,0.125,2,concurrent,split_cap,0.01633258025988238,2.0,1.236576202363541
2026-05-08,TSLA,UP,ATM,TSLA260508C00417500,,open_lock,1s,429.865,417.5,0,2026-05-08 11:35:00-04:00,2,12.92,11.8,-0.08668730650154788,T+30,2026-05-08 11:35:00-04:00,2026-05-08 12:05:00-04:00,0.25,1,concurrent,solo_full,0.017987423193702945,0.0,0.6683516439717422
2026-05-08,TSLA,UP,ATM,TSLA260508C00417500,,open_lock,1s,427.9101,417.5,0,2026-05-08 13:07:00-04:00,3,10.97,10.15,-0.07474931631722881,T+30,2026-05-08 13:07:00-04:00,2026-05-08 13:37:00-04:00,0.25,1,concurrent,solo_full,0.02094455556674779,1.0,0.26797650836220605
2026-05-11,TSLA,DN,ATM,TSLA260511P00422500,,open_lock,1s,417.17,422.5,0,2026-05-11 10:32:00-04:00,1,6.21,2.464,-0.6032206119162641,SL,2026-05-11 10:32:00-04:00,2026-05-11 10:58:23-04:00,0.25,1,concurrent,solo_full,-0.0018926748323044862,1.0,0.30175592483246266
2026-05-12,TSLA,DN,ATM,TSLA260513P00442500,,open_lock,1s,431.56,442.5,1,2026-05-12 10:57:00-04:00,1,13.42,17.39,0.2958271236959762,T+30,2026-05-12 10:57:01-04:00,2026-05-12 11:27:00-04:00,0.25,1,concurrent,solo_full,-0.013737559225097451,2.0,1.3089562602376772
2026-05-12,TSLA,DN,ATM,TSLA260513P00442500,,open_lock,1s,426.14,442.5,1,2026-05-12 11:55:00-04:00,2,17.619999999999997,17.22,-0.022701475595913623,T+30,2026-05-12 11:55:00-04:00,2026-05-12 12:25:00-04:00,0.25,1,concurrent,solo_full,-0.018881942302840016,2.0,-1.4707350558745458
2026-05-12,TSLA,DN,ATM,TSLA260513P00442500,,open_lock,1s,425.17,442.5,1,2026-05-12 12:31:00-04:00,3,18.46,19.84,0.07475622968580709,T+30,2026-05-12 12:31:00-04:00,2026-05-12 13:01:00-04:00,0.25,1,concurrent,solo_full,-0.020858448512714123,1.0,-0.4330906620737643
2026-05-13,TSLA,UP,ATM,TSLA260513C00437500,,open_lock,1s,443.8,437.5,0,2026-05-13 10:30:00-04:00,1,6.71,10.74,0.6005961251862892,TP,2026-05-13 10:30:00-04:00,2026-05-13 10:42:44-04:00,0.25,1,concurrent,solo_full,0.00270075366581346,0.0,-1.46039234403485
2026-05-13,NVDA,UP,ATM,NVDA260513C00225000,,open_lock,1s,225.48,225.0,0,2026-05-13 10:51:00-04:00,1,1.544,2.492,0.6139896373056994,TP,2026-05-13 10:51:00-04:00,2026-05-13 11:04:34-04:00,0.25,1,concurrent,solo_full,0.0034643175294466477,0.0,-0.6762532005944404
2026-05-13,NVDA,UP,ATM,NVDA260513C00225000,,open_lock,1s,226.9522,225.0,0,2026-05-13 11:11:00-04:00,2,2.83,1.922,-0.32084805653710247,T+30,2026-05-13 11:11:00-04:00,2026-05-13 11:41:00-04:00,0.25,1,concurrent,solo_full,0.005005585328261786,0.0,1.5464431681123971
2026-05-13,TSLA,UP,ATM,TSLA260513C00437500,,open_lock,1s,449.829,437.5,0,2026-05-13 11:19:00-04:00,2,12.75,12.94,0.014901960784313717,T+30,2026-05-13 11:19:00-04:00,2026-05-13 11:49:00-04:00,0.125,2,concurrent,split_cap,0.005486064959488557,0.0,1.9438175556514214
2026-05-13,NVDA,UP,ATM,NVDA260513C00225000,,open_lock,1s,226.7,225.0,0,2026-05-13 11:50:00-04:00,3,2.422,2.42,-0.0008257638315443128,T+30,2026-05-13 11:50:00-04:00,2026-05-13 12:20:00-04:00,0.25,1,concurrent,solo_full,0.0055994683333095985,0.0,1.5656178783630406
2026-05-13,TSLA,UP,ATM,TSLA260513C00437500,,open_lock,1s,449.475,437.5,0,2026-05-13 12:15:00-04:00,3,11.86,12.479999999999999,0.05227655986509272,T+30,2026-05-13 12:15:00-04:00,2026-05-13 12:45:02-04:00,0.125,2,concurrent,split_cap,0.007494096520128446,0.0,0.9939969227765841
2026-05-13,NVDA,UP,ATM,NVDA260513C00225000,,open_lock,1s,227.1409,225.0,0,2026-05-13 13:06:00-04:00,4,2.296,1.662,-0.2761324041811847,T+30,2026-05-13 13:06:04-04:00,2026-05-13 13:36:00-04:00,0.25,1,concurrent,solo_full,0.010797358634634602,0.0,0.016929804304388358
