date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-03-05,AMD,DN,ATM,AMD260306P00197500,,open_ladder,day_iv,197.745,197.5,1,2026-03-05 12:32:00-05:00,1,3.1186000000000003,4.04558,0.29724235233758733,T+30,2026-03-05 12:32:00-05:00,2026-03-05 13:02:00-05:00,-0.009369421013839863,3.0,2.6962052081501464
2026-03-05,META,DN,ATM,META260306P00657500,,open_ladder,day_iv,653.86,657.5,1,2026-03-05 12:32:00-05:00,1,8.048,8.995700000000001,0.1177559642147119,T+30,2026-03-05 12:32:00-05:00,2026-03-05 13:02:00-05:00,-0.009369421013839863,3.0,2.6962052081501464
2026-03-05,AMD,DN,ATM,AMD260306P00195000,,open_ladder,day_iv,196.01,195.0,1,2026-03-05 13:23:00-05:00,2,2.6156,2.21662,-0.15253861446704398,T+30,2026-03-05 13:23:00-05:00,2026-03-05 13:53:00-05:00,-0.011104741626402403,10.0,1.0117661324932326
2026-03-05,META,DN,ATM,META260306P00657500,,open_ladder,day_iv,652.24,657.5,1,2026-03-05 13:32:00-05:00,2,8.6013,8.508640000000002,-0.010772790159626844,T+30,2026-03-05 13:34:00-05:00,2026-03-05 14:03:00-05:00,-0.01310293997215628,11.0,1.4596136006667069
2026-03-06,META,DN,ATM,META260306P00647500,,open_ladder,day_iv,646.98,647.5,0,2026-03-06 11:15:00-05:00,1,3.1689,3.1311,-0.011928429423459175,T+30,2026-03-06 14:50:00-05:00,2026-03-06 14:50:00-05:00,-0.008112990638856843,5.0,-0.43644188076130885
2026-03-11,TSLA,UP,ATM,TSLA260311C00407500,,open_ladder,day_iv,407.97,407.5,0,2026-03-11 12:31:00-04:00,1,0.28168000000000004,0.27832,-0.011928429423459397,T+30,2026-03-11 14:50:00-04:00,2026-03-11 14:50:00-04:00,0.00026330947091257606,9.0,-1.1209529822754545
2026-03-12,AAPL,DN,ATM,AAPL260313P00255000,,open_ladder,day_iv,254.7601,255.0,1,2026-03-12 10:30:00-04:00,1,2.20314,2.0178199999999995,-0.08411630672585513,T+30,2026-03-12 10:30:00-04:00,2026-03-12 11:00:00-04:00,-0.014364931795369684,7.0,1.7271377466256739
2026-03-12,NVDA,DN,ATM,NVDA260313P00182500,,open_ladder,day_iv,182.09,182.5,1,2026-03-12 10:30:00-04:00,1,2.0623,1.9383,-0.06012704262231494,T+30,2026-03-12 10:30:00-04:00,2026-03-12 11:00:00-04:00,-0.014364931795369684,7.0,1.7271377466256739
2026-03-13,META,DN,ATM,META260313P00620000,,open_ladder,day_iv,620.2,620.0,0,2026-03-13 10:56:00-04:00,1,6.689900000000001,6.6101,-0.011928429423459286,T+30,2026-03-13 15:17:00-04:00,2026-03-13 15:17:00-04:00,-0.0019754243814243955,5.0,2.5915470256826483
2026-03-13,AMD,DN,ATM,AMD260313P00195000,,open_ladder,day_iv,193.7999,195.0,0,2026-03-13 11:46:00-04:00,1,1.3480400000000001,1.33196,-0.011928429423459286,T+30,2026-03-13 14:49:00-04:00,2026-03-13 14:49:00-04:00,-0.005279572772625474,6.0,1.8783312094250424
2026-03-16,TSLA,UP,ATM,TSLA260316C00400000,,open_ladder,day_iv,401.52,400.0,0,2026-03-16 10:30:00-04:00,1,0.13078,0.12922,-0.011928429423459286,T+30,2026-03-16 15:05:00-04:00,2026-03-16 15:05:00-04:00,0.012043322272566437,7.0,-0.5316540193496834
2026-03-18,AMZN,DN,ATM,AMZN260318P00210000,,open_ladder,day_iv,210.86,210.0,0,2026-03-18 12:45:00-04:00,1,0.41246,0.40753999999999996,-0.011928429423459286,T+30,2026-03-18 14:55:00-04:00,2026-03-18 14:55:00-04:00,-0.006463374212794082,5.0,1.385653932064805
2026-04-01,AMD,UP,ATM,AMD260402C00210000,,open_ladder,day_iv,210.85,210.0,1,2026-04-01 10:30:00-04:00,1,3.4707000000000003,4.2741999999999996,0.23150949376206498,T+30,2026-04-01 10:30:00-04:00,2026-04-01 11:00:00-04:00,0.012336694736112541,10.0,-0.4844568900119928
2026-04-01,AMD,UP,ATM,AMD260402C00212500,,open_ladder,day_iv,212.24,212.5,1,2026-04-01 11:26:00-04:00,2,2.78662,3.12116,0.12005224967882233,T+30,2026-04-01 11:26:00-04:00,2026-04-01 11:56:00-04:00,0.015108985688047971,1.0,-1.2355682553618714
