date,symbol,dir,moneyness,ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,source
2026-02-26,AMD,DN,ATM,AMD260227P00210000,open_lock,day_iv,203.035,210.0,1,2026-02-26 11:00:00-05:00,1,7.67578,7.09716,-0.0753825669834206,T+30,2026-02-26 11:01:00-05:00,2026-02-26 11:31:00-05:00,stream
2026-02-26,TSLA,DN,ATM,TSLA260227P00415000,open_lock,day_iv,407.38,415.0,1,2026-02-26 11:43:00-05:00,1,8.792440000000001,10.55628,0.2006087047508993,T+30,2026-02-26 11:43:00-05:00,2026-02-26 12:13:00-05:00,stream
2026-02-26,TSLA,DN,ATM,TSLA260227P00415000,open_lock,day_iv,404.89,415.0,1,2026-02-26 12:19:00-05:00,2,11.12636,11.4807,0.03184689332360269,T+30,2026-02-26 12:20:00-05:00,2026-02-26 12:49:00-05:00,stream
2026-02-27,NVDA,DN,ATM,NVDA260227P00182500,open_lock,1s,180.375,182.5,0,2026-02-27 11:42:00-05:00,1,2.226,2.5060000000000002,0.12578616352201277,T+30,2026-02-27 11:42:00-05:00,2026-02-27 12:12:00-05:00,stream
2026-02-27,NVDA,DN,ATM,NVDA260227P00182500,open_lock,1s,179.7894,182.5,0,2026-02-27 12:17:00-05:00,2,2.77,3.11,0.12274368231046928,T+30,2026-02-27 12:17:00-05:00,2026-02-27 12:47:00-05:00,stream
2026-02-27,TSLA,DN,ATM,TSLA260227P00402500,open_lock,day_iv,400.215,402.5,0,2026-02-27 12:20:00-05:00,1,3.1689,3.1311,-0.011928429423459175,T+30,2026-02-27 14:48:00-05:00,2026-02-27 14:48:00-05:00,stream
2026-02-27,NVDA,DN,ATM,NVDA260227P00182500,open_lock,1s,178.8601,182.5,0,2026-02-27 13:19:00-05:00,3,3.58,3.92,0.0949720670391061,T+30,2026-02-27 13:19:02-05:00,2026-02-27 13:49:00-05:00,stream
2026-02-27,NVDA,DN,ATM,NVDA260227P00182500,open_lock,1s,178.33,182.5,0,2026-02-27 13:55:00-05:00,4,4.19,4.02,-0.04057279236276867,T+30,2026-02-27 13:55:00-05:00,2026-02-27 14:25:00-05:00,stream
2026-03-03,NVDA,DN,ATM,NVDA260304P00180000,open_lock,1s,178.05,180.0,1,2026-03-03 10:30:00-05:00,1,3.68,3.62,-0.016304347826086918,T+30,2026-03-03 10:30:00-05:00,2026-03-03 11:00:00-05:00,stream
2026-03-03,TSLA,DN,ATM,TSLA260304P00395000,open_lock,day_iv,387.18,395.0,1,2026-03-03 10:30:00-05:00,1,9.9594,9.3933,-0.05684077354057482,T+30,2026-03-03 10:30:00-05:00,2026-03-03 11:00:00-05:00,stream
2026-03-05,AMD,DN,ATM,AMD260306P00197500,open_lock,1s,197.745,197.5,1,2026-03-05 12:32:00-05:00,1,2.866,3.88,0.3538032100488484,T+30,2026-03-05 12:32:00-05:00,2026-03-05 13:02:00-05:00,stream
2026-03-05,META,DN,ATM,META260306P00662500,open_lock,day_iv,653.86,662.5,1,2026-03-05 12:32:00-05:00,1,11.1163,12.047279999999999,0.08374908917535495,T+30,2026-03-05 12:32:00-05:00,2026-03-05 13:02:00-05:00,stream
2026-03-05,AMD,DN,ATM,AMD260306P00197500,open_lock,1s,196.01,197.5,1,2026-03-05 13:23:00-05:00,2,3.8200000000000003,3.48,-0.08900523560209428,T+30,2026-03-05 13:23:01-05:00,2026-03-05 13:53:00-05:00,stream
2026-03-05,META,DN,ATM,META260306P00662500,open_lock,day_iv,652.24,662.5,1,2026-03-05 13:32:00-05:00,2,11.8205,11.2322,-0.049769468296603225,T+30,2026-03-05 13:37:00-05:00,2026-03-05 14:13:00-05:00,stream
