date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-01-30,META,DN,ATM,META260130P00720000,META260130P00717500,signal_atm,day_iv,719.56,720.0,0.0,2026-01-30 12:22:00-05:00,2,2.15284,3.976,0.8468627487411977,TP,2026-01-30 12:30:00-05:00,2026-01-30 13:30:00-05:00,-0.00873903648150498,2.0,-0.5419554924136668
2026-02-03,MSFT,DN,ATM,MSFT260204P00412500,MSFT260204P00412500,signal_atm,day_iv,412.11,412.5,1.0,2026-02-03 10:30:00-05:00,1,3.5713,2.7633199999999998,-0.22624254473161043,T+30,2026-02-03 10:30:00-05:00,2026-02-03 11:00:00-05:00,-0.012183827286663229,9.0,0.6876423829561349
2026-02-03,AMZN,DN,ATM,AMZN260204P00237500,AMZN260204P00237500,signal_atm,day_iv,237.23,237.5,1.0,2026-02-03 11:07:00-05:00,1,2.4144,2.3756600000000003,-0.016045394300861382,T+30,2026-02-03 11:07:00-05:00,2026-02-03 11:37:00-05:00,-0.010810551865099605,5.0,0.5610354691578598
2026-02-04,AMD,DN,ATM,AMD260206P00207500,AMD260206P00212500,signal_atm,day_iv,207.6,207.5,2.0,2026-02-04 10:30:00-05:00,1,5.1809,5.9639999999999995,0.15115134436101818,T+30,2026-02-04 10:30:00-05:00,2026-02-04 11:00:00-05:00,-0.00880850028388358,12.0,0.38504194543090886
2026-02-04,NVDA,DN,ATM,NVDA260206P00177500,NVDA260204P00175000,signal_atm,day_iv,176.55,177.5,2.0,2026-02-04 10:33:00-05:00,1,3.6115399999999998,4.34378,0.20275007337590067,T+30,2026-02-04 10:33:00-05:00,2026-02-04 11:03:00-05:00,-0.009974207153864989,11.0,0.9784851618879742
2026-02-04,AMD,DN,ATM,AMD260206P00205000,AMD260206P00212500,signal_atm,day_iv,204.035,205.0,2.0,2026-02-04 11:05:00-05:00,2,5.8347999999999995,6.09322,0.04428943579899913,T+30,2026-02-04 11:05:00-05:00,2026-02-04 11:35:00-05:00,-0.014810609132938635,8.0,2.4123502597556654
2026-02-04,NVDA,DN,ATM,NVDA260206P00175000,NVDA260204P00175000,signal_atm,day_iv,175.335,175.0,2.0,2026-02-04 11:12:00-05:00,2,2.99788,3.8269,0.27653541836230944,T+30,2026-02-04 11:12:00-05:00,2026-02-04 11:42:00-05:00,-0.012342282423554396,7.0,0.362208106047397
2026-02-04,AMD,DN,ATM,AMD260206P00202500,AMD260206P00212500,signal_atm,day_iv,201.7,202.5,2.0,2026-02-04 11:40:00-05:00,3,5.7845,5.5664,-0.037704209525456056,T+30,2026-02-04 11:40:00-05:00,2026-02-04 12:10:00-05:00,-0.017179008840944143,3.0,1.4339984626027698
2026-02-04,NVDA,DN,ATM,NVDA260206P00172500,NVDA260204P00175000,signal_atm,day_iv,173.57,172.5,2.0,2026-02-04 11:47:00-05:00,3,2.9173999999999998,2.25638,-0.22657846027284556,T+30,2026-02-04 11:47:00-05:00,2026-02-04 12:17:00-05:00,-0.01868764701111214,2.0,2.1828011708726742
2026-02-05,AMD,DN,ATM,AMD260206P00195000,AMD260206P00195000,signal_atm,day_iv,193.815,195.0,1.0,2026-02-05 10:30:00-05:00,1,4.9797,5.4173,0.0878767797256863,T+30,2026-02-05 10:30:00-05:00,2026-02-05 11:00:00-05:00,-0.015323139922723827,7.0,1.202785290008636
2026-02-05,TSLA,DN,ATM,TSLA260206P00387500,TSLA260206P00397500,signal_atm,day_iv,388.1166,387.5,1.0,2026-02-05 10:34:00-05:00,1,6.0863,4.2741999999999996,-0.29773425562328515,T+30,2026-02-05 10:34:00-05:00,2026-02-05 11:04:00-05:00,-0.017007364353885168,8.0,1.4949587999890572
2026-02-05,AMD,DN,ATM,AMD260206P00192500,AMD260206P00195000,signal_atm,day_iv,192.62,192.5,1.0,2026-02-05 11:15:00-05:00,2,4.0743,2.8329,-0.30469037626095286,T+30,2026-02-05 11:15:00-05:00,2026-02-05 11:45:00-05:00,-0.014514051715597165,7.0,-1.2195558330437457
2026-02-06,NVDA,UP,ATM,NVDA260209C00182500,NVDA260206C00185000,signal_atm,day_iv,182.445,182.5,1.0,2026-02-06 10:30:00-05:00,1,2.44458,2.45518,0.004336123178623641,T+30,2026-02-06 10:30:00-05:00,2026-02-06 11:00:00-05:00,0.01041806244137744,7.0,-0.8865107817532258
2026-02-06,TSLA,UP,ATM,TSLA260209C00410000,TSLA260206C00412500,signal_atm,day_iv,411.01,410.0,1.0,2026-02-06 10:33:00-05:00,1,6.2372000000000005,5.0694,-0.18723145000961983,T+30,2026-02-06 10:33:00-05:00,2026-02-06 11:03:00-05:00,0.011640761088034468,6.0,-1.6387579514950676
2026-02-06,NVDA,UP,ATM,NVDA260209C00182500,NVDA260206C00185000,signal_atm,day_iv,183.49,182.5,1.0,2026-02-06 11:05:00-05:00,2,2.95764,3.19074,0.0788128372621415,T+30,2026-02-06 11:05:00-05:00,2026-02-06 11:35:00-05:00,0.013139823127428674,4.0,-0.604768655555434
2026-02-06,NVDA,UP,ATM,NVDA260209C00185000,NVDA260206C00185000,signal_atm,day_iv,184.33,185.0,1.0,2026-02-06 11:40:00-05:00,3,1.92146,1.6102800000000002,-0.16194976736439992,T+30,2026-02-06 11:40:00-05:00,2026-02-06 12:10:00-05:00,0.016715797936486698,1.0,-2.2380917444680675
2026-02-09,MSFT,UP,ATM,MSFT260209C00410000,MSFT260209C00412500,signal_atm,day_iv,412.53,410.0,0.0,2026-02-09 12:45:00-05:00,1,2.37416,2.34584,-0.011928429423459175,T+30,2026-02-09 13:31:00-05:00,2026-02-09 13:31:00-05:00,0.009349933566261681,1.0,-1.9172183783440317
2026-02-10,MSFT,UP,ATM,MSFT260211C00422500,MSFT260211C00420000,signal_atm,day_iv,422.055,422.5,1.0,2026-02-10 10:45:00-05:00,1,2.90734,2.67386,-0.08030708482668014,T+30,2026-02-10 10:45:00-05:00,2026-02-10 11:15:00-05:00,0.0029462992202886618,8.0,0.15319654873986757
2026-02-10,TSLA,UP,ATM,TSLA260211C00425000,TSLA260211C00422500,signal_atm,day_iv,425.9786,425.0,1.0,2026-02-10 12:17:00-05:00,1,4.919339999999999,4.125100000000001,-0.16145255257819113,T+30,2026-02-10 12:17:00-05:00,2026-02-10 12:47:00-05:00,0.001595233831979348,3.0,-1.9934842560581034
2026-02-11,AAPL,UP,ATM,AAPL260213C00280000,AAPL260211C00275000,signal_atm,day_iv,279.755,280.0,2.0,2026-02-11 10:59:00-05:00,1,0.5533000000000001,0.5467,-0.011928429423459508,T+30,2026-02-11 14:45:00-05:00,2026-02-11 14:45:00-05:00,0.0012101785831097889,7.0,-0.998293070347927
2026-02-11,MSFT,DN,ATM,MSFT260213P00402500,MSFT260211P00405000,signal_atm,day_iv,402.865,402.5,2.0,2026-02-11 11:08:00-05:00,1,4.23526,4.075399999999999,-0.03774502627937859,T+30,2026-02-11 11:08:00-05:00,2026-02-11 11:38:00-05:00,-0.0007931575848760808,5.0,-0.8788380278687269
2026-02-12,AMZN,DN,ATM,AMZN260213P00200000,AMZN260213P00202500,signal_atm,day_iv,199.84,200.0,1.0,2026-02-12 10:43:00-05:00,1,2.05224,3.3299,0.622568510505594,TP,2026-02-12 10:43:00-05:00,2026-02-12 11:05:00-05:00,-0.007455138662316507,5.0,2.66402913882198
